"position","node","ntc","a","b","c","d","source","a_suspect"
16,91,1,0.00086549614060836,0.000268222168255655,-2.29455693457953e-06,2.76277847874043e-07,"registry:2026-07-06",FALSE
16,91,2,0.000844698535790589,0.000274061344372884,-2.83186836448069e-06,2.92632067640112e-07,"registry:2026-07-06",FALSE
16,91,3,0.000840643550771862,0.000275284425942264,-2.95256542097957e-06,2.9655086182692e-07,"registry:2026-07-06",FALSE
17,92,1,0.000914811672703723,0.000254738632470683,-1.06762267584518e-06,2.39149045586476e-07,"registry:2026-07-06",FALSE
17,92,2,0.000926668511404137,0.000251476780537275,-7.77487647595134e-07,2.30987557216068e-07,"registry:2026-07-06",FALSE
17,92,3,0.000910323391010542,0.000256040934443465,-1.21046834542301e-06,2.44037724028543e-07,"registry:2026-07-06",FALSE
18,93,1,0.000914568826271367,0.000254632632834235,-1.06968551219315e-06,2.39613165106128e-07,"registry:2026-07-06",FALSE
18,93,2,0.000896147919417829,0.000259612095354019,-1.51788090239126e-06,2.53793917939115e-07,"registry:2026-07-06",FALSE
18,93,3,0.000871814610624906,0.000266903624734179,-2.20603803452502e-06,2.7443437441096e-07,"registry:2026-07-06",FALSE
19,94,1,0.000910841691051653,0.000255478407481511,-1.11485461559855e-06,2.395556319227e-07,"registry:2026-07-06",FALSE
19,94,2,0.000899410699243117,0.000258967897852254,-1.45987159672055e-06,2.50950489362542e-07,"registry:2026-07-06",FALSE
19,94,3,0.000873840493161849,0.000265844159558384,-2.07912876676918e-06,2.69234566723312e-07,"registry:2026-07-06",FALSE
20,96,1,0.00091790914992005,0.000253742399437594,-9.59400237216792e-07,2.34916783245814e-07,"registry:2026-07-06",FALSE
20,96,2,0.00091326269637483,0.000254966599710984,-1.07642730042954e-06,2.38473883065959e-07,"registry:2026-07-06",FALSE
20,96,3,0.000859926988594914,0.000269790108881227,-2.4393587325164e-06,2.80814645606339e-07,"registry:2026-07-06",FALSE
21,97,1,0.000884409736791705,0.000262342153062247,-1.71079493550808e-06,2.57956227317181e-07,"registry:2026-07-06",FALSE
21,97,2,0.000887529722176747,0.000262137234580812,-1.74439599259492e-06,2.59608644163155e-07,"registry:2026-07-06",FALSE
21,97,3,0.000834534890262985,0.000276972725078647,-3.12494759601022e-06,3.02269126516151e-07,"registry:2026-07-06",FALSE
22,98,1,0.000789773413166318,0.000288869832905238,-4.17846381203018e-06,3.33304448704926e-07,"registry:2026-07-07",FALSE
22,98,2,0.00075046435147162,0.000299141147693205,-5.08639133677551e-06,3.60244853053104e-07,"registry:2026-07-07",FALSE
22,98,3,0.000761789593826114,0.000296286898323099,-4.82350921345096e-06,3.52145879518253e-07,"registry:2026-07-07",FALSE
23,99,1,0.000884566049331275,0.000262843374810546,-1.81530980099051e-06,2.61821722888138e-07,"registry:2026-07-06",FALSE
23,99,2,0.000851739411706431,0.000271546266540324,-2.56384606875943e-06,2.832710522878e-07,"registry:2026-07-06",FALSE
23,99,3,0.000583898807941023,0.000348378200367997,-9.92535945093743e-06,5.19371623673628e-07,"registry:2026-07-06",FALSE
24,29,1,0.000897445482825017,0.000259379638973299,-1.48453885146291e-06,2.51210237158307e-07,"registry:2026-07-06",FALSE
24,29,2,0.000881697775049882,0.000263371897743313,-1.8310797766833e-06,2.61153598219332e-07,"registry:2026-07-06",FALSE
24,29,3,0.00085903322710594,0.000269615327498805,-2.39201839546099e-06,2.78634453997256e-07,"registry:2026-07-06",FALSE
