"position","node","ntc","a","b","c","d","source","a_suspect"
17,82,2,0.000861934354910357,0.000270189349424792,-2.56494234876007e-06,2.86517086336527e-07,"SM1",FALSE
17,82,3,0.000897366150435336,0.000260612429680635,-1.71656497723028e-06,2.62007401431685e-07,"SM1",FALSE
18,50,1,0.000832639162409561,0.000278097675212885,-3.27651425502156e-06,3.07997846020958e-07,"SM1",FALSE
18,50,2,0.000823052428958202,0.000280627856143058,-3.49079545534791e-06,3.14526675717593e-07,"SM1",FALSE
18,50,3,0.00118828913144552,0.000186283725794837,4.45871208038413e-06,9.77949821624953e-08,"SM1",TRUE
19,51,1,0.000831486475051393,0.000278269083927049,-3.28776500781716e-06,3.08642878277064e-07,"SM1",FALSE
19,51,2,0.000843751936858634,0.000274994060344502,-2.98393607423046e-06,2.995099832752e-07,"SM1",FALSE
19,51,3,0.00141920239314828,0.000127523022572139,9.44521853178085e-06,-4.34257259955923e-08,"SM1",TRUE
20,52,1,0.000553648644435317,0.000358460618396203,-1.09926878210716e-05,5.55945046514683e-07,"SM1",TRUE
20,52,2,0.000818940555910571,0.000281956062506445,-3.63229976164018e-06,3.19010673376352e-07,"SM1",FALSE
20,52,3,0.000833968271997112,0.000277730906043581,-3.2430813423317e-06,3.0705669404336e-07,"SM1",FALSE
21,53,1,0.000785902188693739,0.000291666010655889,-4.57001874979062e-06,3.49218411337881e-07,"SM1",FALSE
21,53,2,0.000811053358790768,0.000284373017586935,-3.88025177660802e-06,3.27586996804298e-07,"SM1",FALSE
21,53,3,0.00118465384714808,0.000191180870076012,3.76690290236711e-06,1.21970127241497e-07,"SM1",TRUE
22,54,1,0.000760058484596569,0.000301322372996492,-5.75123852088589e-06,3.96452536343057e-07,"SM1",FALSE
22,54,2,0.00084002490964587,0.000276368418015011,-3.15028611221304e-06,3.05551279909578e-07,"SM1",FALSE
22,54,3,0.000837781621377741,0.000276828676944181,-3.17850077342649e-06,3.05728820034359e-07,"SM1",FALSE
23,27,1,0.000881938159121409,0.000265915688049459,-2.28984852131923e-06,2.82109720532351e-07,"SM2",FALSE
23,27,2,0.000866539168827571,0.000270207402011839,-2.66535762433677e-06,2.92500612044085e-07,"SM2",FALSE
23,27,3,0.000834863450068329,0.000278509992991907,-3.39535661290535e-06,3.14055802518281e-07,"SM2",FALSE
24,26,1,0.000879659410165931,0.000269484384997938,-2.94861501585386e-06,3.14981178449609e-07,"SM2",FALSE
24,26,2,0.000829026177699986,0.000280254198112933,-3.59442793645609e-06,3.22095498533234e-07,"SM2",FALSE
24,26,3,0.000817992483293656,0.000281049323519271,-3.45515433659617e-06,3.11042185785445e-07,"SM2",FALSE
